station_id,timestamp,attribution,flagged_by_rule,flagged_by_physics,flagged_by_neighbor,flagged_by_ml,flagged_by_temporal,confidence_%,trust_state,alert_priority,corrected_value,ml_explanation
ST03,2026-08-28 23:20:00,Sensor fault,True,True,True,True,False,100.0,QUARANTINE,CRITICAL - send immediately,"26.4°C to 30.3°C (estimated, not confirmed)","{'available': True, 'model': 'Isolation Forest', 'top_features': [{'feature': 'temperature', 'display_name': 'Temperature', 'contribution': -1.5742, 'abs_contribution': 1.5742, 'importance': 'HIGH', 'direction': 'anomalous'}, {'feature': 'temperature_deviation', 'display_name': 'Temperature Deviation', 'contribution': -1.3558, 'abs_contribution': 1.3558, 'importance': 'HIGH', 'direction': 'anomalous'}, {'feature': 'dew_point', 'display_name': 'Dew Point', 'contribution': -1.2812, 'abs_contribution': 1.2812, 'importance': 'MEDIUM', 'direction': 'anomalous'}, {'feature': 'temp_humidity_ratio', 'display_name': 'Temp Humidity Ratio', 'contribution': -1.2199, 'abs_contribution': 1.2199, 'importance': 'MEDIUM', 'direction': 'anomalous'}, {'feature': 'temperature_zscore', 'display_name': 'Temperature Zscore', 'contribution': -0.7184, 'abs_contribution': 0.7184, 'importance': 'MEDIUM', 'direction': 'anomalous'}, {'feature': 'temperature_rate_of_change', 'display_name': 'Temperature Rate Of Change', 'contribution': -0.6465, 'abs_contribution': 0.6465, 'importance': 'MEDIUM', 'direction': 'anomalous'}, {'feature': 'humidity_rate_of_change', 'display_name': 'Humidity Rate Of Change', 'contribution': 0.1221, 'abs_contribution': 0.1221, 'importance': 'LOW', 'direction': 'normal'}, {'feature': 'pressure', 'display_name': 'Pressure', 'contribution': 0.1116, 'abs_contribution': 0.1116, 'importance': 'LOW', 'direction': 'normal'}, {'feature': 'pressure_zscore', 'display_name': 'Pressure Zscore', 'contribution': 0.1053, 'abs_contribution': 0.1053, 'importance': 'LOW', 'direction': 'normal'}, {'feature': 'pressure_deviation', 'display_name': 'Pressure Deviation', 'contribution': 0.0802, 'abs_contribution': 0.0802, 'importance': 'LOW', 'direction': 'normal'}, {'feature': 'humidity_zscore', 'display_name': 'Humidity Zscore', 'contribution': 0.0726, 'abs_contribution': 0.0726, 'importance': 'LOW', 'direction': 'normal'}, {'feature': 'humidity_deviation', 'display_name': 'Humidity Deviation', 'contribution': 0.0648, 'abs_contribution': 0.0648, 'importance': 'LOW', 'direction': 'normal'}, {'feature': 'humidity', 'display_name': 'Humidity', 'contribution': 0.0614, 'abs_contribution': 0.0614, 'importance': 'LOW', 'direction': 'normal'}, {'feature': 'pressure_rate_of_change', 'display_name': 'Pressure Rate Of Change', 'contribution': 0.0605, 'abs_contribution': 0.0605, 'importance': 'LOW', 'direction': 'normal'}], 'summary': 'Temperature had the strongest contribution to the Isolation Forest decision.'}"
ST04,2026-08-28 17:30:00,Silent station,True,False,True,False,False,100.0,REJECT,CRITICAL - send immediately,"25.4°C to 27.4°C (estimated, not confirmed)",
ST07,2026-08-28 20:00:00,Sensor fault,True,True,False,True,False,100.0,QUARANTINE,CRITICAL - send immediately,,"{'available': True, 'model': 'Isolation Forest', 'top_features': [{'feature': 'temperature', 'display_name': 'Temperature', 'contribution': -1.5809, 'abs_contribution': 1.5809, 'importance': 'HIGH', 'direction': 'anomalous'}, {'feature': 'dew_point', 'display_name': 'Dew Point', 'contribution': -1.4504, 'abs_contribution': 1.4504, 'importance': 'HIGH', 'direction': 'anomalous'}, {'feature': 'temperature_deviation', 'display_name': 'Temperature Deviation', 'contribution': -1.4016, 'abs_contribution': 1.4016, 'importance': 'MEDIUM', 'direction': 'anomalous'}, {'feature': 'temp_humidity_ratio', 'display_name': 'Temp Humidity Ratio', 'contribution': -1.2296, 'abs_contribution': 1.2296, 'importance': 'MEDIUM', 'direction': 'anomalous'}, {'feature': 'temperature_zscore', 'display_name': 'Temperature Zscore', 'contribution': -1.0269, 'abs_contribution': 1.0269, 'importance': 'MEDIUM', 'direction': 'anomalous'}, {'feature': 'temperature_rate_of_change', 'display_name': 'Temperature Rate Of Change', 'contribution': -0.7354, 'abs_contribution': 0.7354, 'importance': 'MEDIUM', 'direction': 'anomalous'}, {'feature': 'humidity_rate_of_change', 'display_name': 'Humidity Rate Of Change', 'contribution': 0.1042, 'abs_contribution': 0.1042, 'importance': 'LOW', 'direction': 'normal'}, {'feature': 'humidity_zscore', 'display_name': 'Humidity Zscore', 'contribution': 0.0831, 'abs_contribution': 0.0831, 'importance': 'LOW', 'direction': 'normal'}, {'feature': 'pressure_deviation', 'display_name': 'Pressure Deviation', 'contribution': 0.0743, 'abs_contribution': 0.0743, 'importance': 'LOW', 'direction': 'normal'}, {'feature': 'humidity_deviation', 'display_name': 'Humidity Deviation', 'contribution': 0.0663, 'abs_contribution': 0.0663, 'importance': 'LOW', 'direction': 'normal'}, {'feature': 'humidity', 'display_name': 'Humidity', 'contribution': 0.0619, 'abs_contribution': 0.0619, 'importance': 'LOW', 'direction': 'normal'}, {'feature': 'pressure_rate_of_change', 'display_name': 'Pressure Rate Of Change', 'contribution': 0.0506, 'abs_contribution': 0.0506, 'importance': 'LOW', 'direction': 'normal'}, {'feature': 'pressure', 'display_name': 'Pressure', 'contribution': 0.0472, 'abs_contribution': 0.0472, 'importance': 'LOW', 'direction': 'normal'}, {'feature': 'pressure_zscore', 'display_name': 'Pressure Zscore', 'contribution': 0.0353, 'abs_contribution': 0.0353, 'importance': 'LOW', 'direction': 'normal'}], 'summary': 'Temperature had the strongest contribution to the Isolation Forest decision.'}"
ST10,2026-08-28 18:20:00,Sensor fault,True,True,True,True,False,100.0,QUARANTINE,CRITICAL - send immediately,"26.7°C to 28.5°C (estimated, not confirmed)","{'available': True, 'model': 'Isolation Forest', 'top_features': [{'feature': 'pressure_zscore', 'display_name': 'Pressure Zscore', 'contribution': -0.8976, 'abs_contribution': 0.8976, 'importance': 'MEDIUM', 'direction': 'anomalous'}, {'feature': 'humidity', 'display_name': 'Humidity', 'contribution': -0.7723, 'abs_contribution': 0.7723, 'importance': 'MEDIUM', 'direction': 'anomalous'}, {'feature': 'temperature_deviation', 'display_name': 'Temperature Deviation', 'contribution': -0.7432, 'abs_contribution': 0.7432, 'importance': 'MEDIUM', 'direction': 'anomalous'}, {'feature': 'humidity_zscore', 'display_name': 'Humidity Zscore', 'contribution': -0.7033, 'abs_contribution': 0.7033, 'importance': 'MEDIUM', 'direction': 'anomalous'}, {'feature': 'humidity_deviation', 'display_name': 'Humidity Deviation', 'contribution': -0.6943, 'abs_contribution': 0.6943, 'importance': 'MEDIUM', 'direction': 'anomalous'}, {'feature': 'pressure_deviation', 'display_name': 'Pressure Deviation', 'contribution': -0.6786, 'abs_contribution': 0.6786, 'importance': 'MEDIUM', 'direction': 'anomalous'}, {'feature': 'pressure', 'display_name': 'Pressure', 'contribution': -0.624, 'abs_contribution': 0.624, 'importance': 'MEDIUM', 'direction': 'anomalous'}, {'feature': 'pressure_rate_of_change', 'display_name': 'Pressure Rate Of Change', 'contribution': -0.6006, 'abs_contribution': 0.6006, 'importance': 'MEDIUM', 'direction': 'anomalous'}, {'feature': 'temperature_zscore', 'display_name': 'Temperature Zscore', 'contribution': -0.5865, 'abs_contribution': 0.5865, 'importance': 'MEDIUM', 'direction': 'anomalous'}, {'feature': 'temp_humidity_ratio', 'display_name': 'Temp Humidity Ratio', 'contribution': -0.5804, 'abs_contribution': 0.5804, 'importance': 'MEDIUM', 'direction': 'anomalous'}, {'feature': 'temperature_rate_of_change', 'display_name': 'Temperature Rate Of Change', 'contribution': -0.5803, 'abs_contribution': 0.5803, 'importance': 'MEDIUM', 'direction': 'anomalous'}, {'feature': 'humidity_rate_of_change', 'display_name': 'Humidity Rate Of Change', 'contribution': -0.5561, 'abs_contribution': 0.5561, 'importance': 'MEDIUM', 'direction': 'anomalous'}, {'feature': 'temperature', 'display_name': 'Temperature', 'contribution': -0.3002, 'abs_contribution': 0.3002, 'importance': 'LOW', 'direction': 'anomalous'}, {'feature': 'dew_point', 'display_name': 'Dew Point', 'contribution': -0.0873, 'abs_contribution': 0.0873, 'importance': 'LOW', 'direction': 'anomalous'}], 'summary': 'Pressure Zscore had the strongest contribution to the Isolation Forest decision.'}"
ST03,2026-08-28 23:40:00,Sensor fault,True,True,False,True,False,96.5,QUARANTINE,CRITICAL - send immediately,,"{'available': True, 'model': 'Isolation Forest', 'top_features': [{'feature': 'temperature', 'display_name': 'Temperature', 'contribution': -1.5783, 'abs_contribution': 1.5783, 'importance': 'HIGH', 'direction': 'anomalous'}, {'feature': 'temperature_deviation', 'display_name': 'Temperature Deviation', 'contribution': -1.3289, 'abs_contribution': 1.3289, 'importance': 'HIGH', 'direction': 'anomalous'}, {'feature': 'dew_point', 'display_name': 'Dew Point', 'contribution': -1.3244, 'abs_contribution': 1.3244, 'importance': 'HIGH', 'direction': 'anomalous'}, {'feature': 'temp_humidity_ratio', 'display_name': 'Temp Humidity Ratio', 'contribution': -1.2871, 'abs_contribution': 1.2871, 'importance': 'HIGH', 'direction': 'anomalous'}, {'feature': 'temperature_zscore', 'display_name': 'Temperature Zscore', 'contribution': -0.6843, 'abs_contribution': 0.6843, 'importance': 'MEDIUM', 'direction': 'anomalous'}, {'feature': 'humidity_rate_of_change', 'display_name': 'Humidity Rate Of Change', 'contribution': 0.1266, 'abs_contribution': 0.1266, 'importance': 'LOW', 'direction': 'normal'}, {'feature': 'pressure_deviation', 'display_name': 'Pressure Deviation', 'contribution': -0.0938, 'abs_contribution': 0.0938, 'importance': 'LOW', 'direction': 'anomalous'}, {'feature': 'pressure_rate_of_change', 'display_name': 'Pressure Rate Of Change', 'contribution': 0.0882, 'abs_contribution': 0.0882, 'importance': 'LOW', 'direction': 'normal'}, {'feature': 'humidity_zscore', 'display_name': 'Humidity Zscore', 'contribution': 0.0816, 'abs_contribution': 0.0816, 'importance': 'LOW', 'direction': 'normal'}, {'feature': 'temperature_rate_of_change', 'display_name': 'Temperature Rate Of Change', 'contribution': 0.0669, 'abs_contribution': 0.0669, 'importance': 'LOW', 'direction': 'normal'}, {'feature': 'humidity', 'display_name': 'Humidity', 'contribution': 0.0599, 'abs_contribution': 0.0599, 'importance': 'LOW', 'direction': 'normal'}, {'feature': 'pressure_zscore', 'display_name': 'Pressure Zscore', 'contribution': -0.0553, 'abs_contribution': 0.0553, 'importance': 'LOW', 'direction': 'anomalous'}, {'feature': 'humidity_deviation', 'display_name': 'Humidity Deviation', 'contribution': 0.0527, 'abs_contribution': 0.0527, 'importance': 'LOW', 'direction': 'normal'}, {'feature': 'pressure', 'display_name': 'Pressure', 'contribution': -0.0418, 'abs_contribution': 0.0418, 'importance': 'LOW', 'direction': 'anomalous'}], 'summary': 'Temperature had the strongest contribution to the Isolation Forest decision.'}"
ST03,2026-08-29 00:00:00,Sensor fault,True,True,False,True,False,96.4,QUARANTINE,CRITICAL - send immediately,,"{'available': True, 'model': 'Isolation Forest', 'top_features': [{'feature': 'temperature', 'display_name': 'Temperature', 'contribution': -1.6967, 'abs_contribution': 1.6967, 'importance': 'HIGH', 'direction': 'anomalous'}, {'feature': 'dew_point', 'display_name': 'Dew Point', 'contribution': -1.3672, 'abs_contribution': 1.3672, 'importance': 'HIGH', 'direction': 'anomalous'}, {'feature': 'temperature_deviation', 'display_name': 'Temperature Deviation', 'contribution': -1.2549, 'abs_contribution': 1.2549, 'importance': 'HIGH', 'direction': 'anomalous'}, {'feature': 'temp_humidity_ratio', 'display_name': 'Temp Humidity Ratio', 'contribution': -1.2383, 'abs_contribution': 1.2383, 'importance': 'HIGH', 'direction': 'anomalous'}, {'feature': 'temperature_zscore', 'display_name': 'Temperature Zscore', 'contribution': -0.7306, 'abs_contribution': 0.7306, 'importance': 'MEDIUM', 'direction': 'anomalous'}, {'feature': 'pressure', 'display_name': 'Pressure', 'contribution': 0.1027, 'abs_contribution': 0.1027, 'importance': 'LOW', 'direction': 'normal'}, {'feature': 'humidity_rate_of_change', 'display_name': 'Humidity Rate Of Change', 'contribution': -0.0814, 'abs_contribution': 0.0814, 'importance': 'LOW', 'direction': 'anomalous'}, {'feature': 'temperature_rate_of_change', 'display_name': 'Temperature Rate Of Change', 'contribution': 0.07, 'abs_contribution': 0.07, 'importance': 'LOW', 'direction': 'normal'}, {'feature': 'pressure_deviation', 'display_name': 'Pressure Deviation', 'contribution': 0.0689, 'abs_contribution': 0.0689, 'importance': 'LOW', 'direction': 'normal'}, {'feature': 'humidity_zscore', 'display_name': 'Humidity Zscore', 'contribution': 0.059, 'abs_contribution': 0.059, 'importance': 'LOW', 'direction': 'normal'}, {'feature': 'pressure_zscore', 'display_name': 'Pressure Zscore', 'contribution': 0.0584, 'abs_contribution': 0.0584, 'importance': 'LOW', 'direction': 'normal'}, {'feature': 'humidity', 'display_name': 'Humidity', 'contribution': 0.0512, 'abs_contribution': 0.0512, 'importance': 'LOW', 'direction': 'normal'}, {'feature': 'pressure_rate_of_change', 'display_name': 'Pressure Rate Of Change', 'contribution': 0.0385, 'abs_contribution': 0.0385, 'importance': 'LOW', 'direction': 'normal'}, {'feature': 'humidity_deviation', 'display_name': 'Humidity Deviation', 'contribution': 0.0194, 'abs_contribution': 0.0194, 'importance': 'LOW', 'direction': 'normal'}], 'summary': 'Temperature had the strongest contribution to the Isolation Forest decision.'}"
ST03,2026-08-28 23:30:00,Sensor fault,True,True,False,True,False,96.1,QUARANTINE,CRITICAL - send immediately,,"{'available': True, 'model': 'Isolation Forest', 'top_features': [{'feature': 'temperature', 'display_name': 'Temperature', 'contribution': -1.6045, 'abs_contribution': 1.6045, 'importance': 'HIGH', 'direction': 'anomalous'}, {'feature': 'temperature_deviation', 'display_name': 'Temperature Deviation', 'contribution': -1.3502, 'abs_contribution': 1.3502, 'importance': 'HIGH', 'direction': 'anomalous'}, {'feature': 'dew_point', 'display_name': 'Dew Point', 'contribution': -1.3022, 'abs_contribution': 1.3022, 'importance': 'HIGH', 'direction': 'anomalous'}, {'feature': 'temp_humidity_ratio', 'display_name': 'Temp Humidity Ratio', 'contribution': -1.2736, 'abs_contribution': 1.2736, 'importance': 'HIGH', 'direction': 'anomalous'}, {'feature': 'temperature_zscore', 'display_name': 'Temperature Zscore', 'contribution': -0.7383, 'abs_contribution': 0.7383, 'importance': 'MEDIUM', 'direction': 'anomalous'}, {'feature': 'humidity_rate_of_change', 'display_name': 'Humidity Rate Of Change', 'contribution': 0.1209, 'abs_contribution': 0.1209, 'importance': 'LOW', 'direction': 'normal'}, {'feature': 'humidity_zscore', 'display_name': 'Humidity Zscore', 'contribution': 0.0912, 'abs_contribution': 0.0912, 'importance': 'LOW', 'direction': 'normal'}, {'feature': 'temperature_rate_of_change', 'display_name': 'Temperature Rate Of Change', 'contribution': 0.0671, 'abs_contribution': 0.0671, 'importance': 'LOW', 'direction': 'normal'}, {'feature': 'humidity_deviation', 'display_name': 'Humidity Deviation', 'contribution': 0.0609, 'abs_contribution': 0.0609, 'importance': 'LOW', 'direction': 'normal'}, {'feature': 'humidity', 'display_name': 'Humidity', 'contribution': 0.0577, 'abs_contribution': 0.0577, 'importance': 'LOW', 'direction': 'normal'}, {'feature': 'pressure_deviation', 'display_name': 'Pressure Deviation', 'contribution': -0.0576, 'abs_contribution': 0.0576, 'importance': 'LOW', 'direction': 'anomalous'}, {'feature': 'pressure_rate_of_change', 'display_name': 'Pressure Rate Of Change', 'contribution': 0.041, 'abs_contribution': 0.041, 'importance': 'LOW', 'direction': 'normal'}, {'feature': 'pressure', 'display_name': 'Pressure', 'contribution': 0.0193, 'abs_contribution': 0.0193, 'importance': 'LOW', 'direction': 'normal'}, {'feature': 'pressure_zscore', 'display_name': 'Pressure Zscore', 'contribution': 0.006, 'abs_contribution': 0.006, 'importance': 'LOW', 'direction': 'normal'}], 'summary': 'Temperature had the strongest contribution to the Isolation Forest decision.'}"
ST05,2026-08-28 06:40:00,Sensor fault,True,True,True,True,False,94.7,QUARANTINE,CRITICAL - send immediately,"1008.1hPa to 1010.1hPa (estimated, not confirmed)","{'available': True, 'model': 'Isolation Forest', 'top_features': [{'feature': 'pressure_zscore', 'display_name': 'Pressure Zscore', 'contribution': -1.5639, 'abs_contribution': 1.5639, 'importance': 'HIGH', 'direction': 'anomalous'}, {'feature': 'pressure_deviation', 'display_name': 'Pressure Deviation', 'contribution': -1.1788, 'abs_contribution': 1.1788, 'importance': 'HIGH', 'direction': 'anomalous'}, {'feature': 'pressure', 'display_name': 'Pressure', 'contribution': -1.0604, 'abs_contribution': 1.0604, 'importance': 'MEDIUM', 'direction': 'anomalous'}, {'feature': 'pressure_rate_of_change', 'display_name': 'Pressure Rate Of Change', 'contribution': -1.0375, 'abs_contribution': 1.0375, 'importance': 'MEDIUM', 'direction': 'anomalous'}, {'feature': 'temperature_rate_of_change', 'display_name': 'Temperature Rate Of Change', 'contribution': -0.3137, 'abs_contribution': 0.3137, 'importance': 'LOW', 'direction': 'anomalous'}, {'feature': 'humidity_rate_of_change', 'display_name': 'Humidity Rate Of Change', 'contribution': -0.2296, 'abs_contribution': 0.2296, 'importance': 'LOW', 'direction': 'anomalous'}, {'feature': 'humidity_deviation', 'display_name': 'Humidity Deviation', 'contribution': -0.1426, 'abs_contribution': 0.1426, 'importance': 'LOW', 'direction': 'anomalous'}, {'feature': 'temp_humidity_ratio', 'display_name': 'Temp Humidity Ratio', 'contribution': 0.0991, 'abs_contribution': 0.0991, 'importance': 'LOW', 'direction': 'normal'}, {'feature': 'temperature_deviation', 'display_name': 'Temperature Deviation', 'contribution': 0.0952, 'abs_contribution': 0.0952, 'importance': 'LOW', 'direction': 'normal'}, {'feature': 'humidity_zscore', 'display_name': 'Humidity Zscore', 'contribution': -0.0789, 'abs_contribution': 0.0789, 'importance': 'LOW', 'direction': 'anomalous'}, {'feature': 'temperature_zscore', 'display_name': 'Temperature Zscore', 'contribution': 0.0624, 'abs_contribution': 0.0624, 'importance': 'LOW', 'direction': 'normal'}, {'feature': 'temperature', 'display_name': 'Temperature', 'contribution': 0.0552, 'abs_contribution': 0.0552, 'importance': 'LOW', 'direction': 'normal'}, {'feature': 'dew_point', 'display_name': 'Dew Point', 'contribution': 0.033, 'abs_contribution': 0.033, 'importance': 'LOW', 'direction': 'normal'}, {'feature': 'humidity', 'display_name': 'Humidity', 'contribution': -0.0113, 'abs_contribution': 0.0113, 'importance': 'LOW', 'direction': 'anomalous'}], 'summary': 'Pressure Zscore had the strongest contribution to the Isolation Forest decision.'}"
ST03,2026-08-29 00:20:00,Sensor fault,True,False,False,True,False,91.0,QUARANTINE,CRITICAL - send immediately,,"{'available': True, 'model': 'Isolation Forest', 'top_features': [{'feature': 'temperature', 'display_name': 'Temperature', 'contribution': -1.5813, 'abs_contribution': 1.5813, 'importance': 'HIGH', 'direction': 'anomalous'}, {'feature': 'dew_point', 'display_name': 'Dew Point', 'contribution': -1.3631, 'abs_contribution': 1.3631, 'importance': 'HIGH', 'direction': 'anomalous'}, {'feature': 'temp_humidity_ratio', 'display_name': 'Temp Humidity Ratio', 'contribution': -1.3522, 'abs_contribution': 1.3522, 'importance': 'HIGH', 'direction': 'anomalous'}, {'feature': 'temperature_deviation', 'display_name': 'Temperature Deviation', 'contribution': -1.1208, 'abs_contribution': 1.1208, 'importance': 'MEDIUM', 'direction': 'anomalous'}, {'feature': 'temperature_zscore', 'display_name': 'Temperature Zscore', 'contribution': -0.6578, 'abs_contribution': 0.6578, 'importance': 'MEDIUM', 'direction': 'anomalous'}, {'feature': 'pressure_zscore', 'display_name': 'Pressure Zscore', 'contribution': -0.1348, 'abs_contribution': 0.1348, 'importance': 'LOW', 'direction': 'anomalous'}, {'feature': 'pressure', 'display_name': 'Pressure', 'contribution': -0.1009, 'abs_contribution': 0.1009, 'importance': 'LOW', 'direction': 'anomalous'}, {'feature': 'humidity_rate_of_change', 'display_name': 'Humidity Rate Of Change', 'contribution': -0.0896, 'abs_contribution': 0.0896, 'importance': 'LOW', 'direction': 'anomalous'}, {'feature': 'humidity_zscore', 'display_name': 'Humidity Zscore', 'contribution': 0.0812, 'abs_contribution': 0.0812, 'importance': 'LOW', 'direction': 'normal'}, {'feature': 'temperature_rate_of_change', 'display_name': 'Temperature Rate Of Change', 'contribution': 0.0794, 'abs_contribution': 0.0794, 'importance': 'LOW', 'direction': 'normal'}, {'feature': 'pressure_rate_of_change', 'display_name': 'Pressure Rate Of Change', 'contribution': -0.0573, 'abs_contribution': 0.0573, 'importance': 'LOW', 'direction': 'anomalous'}, {'feature': 'humidity', 'display_name': 'Humidity', 'contribution': 0.0512, 'abs_contribution': 0.0512, 'importance': 'LOW', 'direction': 'normal'}, {'feature': 'humidity_deviation', 'display_name': 'Humidity Deviation', 'contribution': 0.0464, 'abs_contribution': 0.0464, 'importance': 'LOW', 'direction': 'normal'}, {'feature': 'pressure_deviation', 'display_name': 'Pressure Deviation', 'contribution': -0.0297, 'abs_contribution': 0.0297, 'importance': 'LOW', 'direction': 'anomalous'}], 'summary': 'Temperature had the strongest contribution to the Isolation Forest decision.'}"
ST03,2026-08-28 23:50:00,Sensor fault,True,False,False,True,False,89.8,QUARANTINE,CRITICAL - send immediately,,"{'available': True, 'model': 'Isolation Forest', 'top_features': [{'feature': 'temperature', 'display_name': 'Temperature', 'contribution': -1.5396, 'abs_contribution': 1.5396, 'importance': 'HIGH', 'direction': 'anomalous'}, {'feature': 'dew_point', 'display_name': 'Dew Point', 'contribution': -1.374, 'abs_contribution': 1.374, 'importance': 'HIGH', 'direction': 'anomalous'}, {'feature': 'temperature_deviation', 'display_name': 'Temperature Deviation', 'contribution': -1.2215, 'abs_contribution': 1.2215, 'importance': 'HIGH', 'direction': 'anomalous'}, {'feature': 'temp_humidity_ratio', 'display_name': 'Temp Humidity Ratio', 'contribution': -0.7759, 'abs_contribution': 0.7759, 'importance': 'MEDIUM', 'direction': 'anomalous'}, {'feature': 'temperature_zscore', 'display_name': 'Temperature Zscore', 'contribution': -0.7204, 'abs_contribution': 0.7204, 'importance': 'MEDIUM', 'direction': 'anomalous'}, {'feature': 'humidity_zscore', 'display_name': 'Humidity Zscore', 'contribution': -0.3207, 'abs_contribution': 0.3207, 'importance': 'LOW', 'direction': 'anomalous'}, {'feature': 'humidity', 'display_name': 'Humidity', 'contribution': -0.2337, 'abs_contribution': 0.2337, 'importance': 'LOW', 'direction': 'anomalous'}, {'feature': 'humidity_deviation', 'display_name': 'Humidity Deviation', 'contribution': -0.1403, 'abs_contribution': 0.1403, 'importance': 'LOW', 'direction': 'anomalous'}, {'feature': 'pressure_deviation', 'display_name': 'Pressure Deviation', 'contribution': 0.0645, 'abs_contribution': 0.0645, 'importance': 'LOW', 'direction': 'normal'}, {'feature': 'pressure', 'display_name': 'Pressure', 'contribution': 0.0637, 'abs_contribution': 0.0637, 'importance': 'LOW', 'direction': 'normal'}, {'feature': 'temperature_rate_of_change', 'display_name': 'Temperature Rate Of Change', 'contribution': 0.0611, 'abs_contribution': 0.0611, 'importance': 'LOW', 'direction': 'normal'}, {'feature': 'humidity_rate_of_change', 'display_name': 'Humidity Rate Of Change', 'contribution': 0.0467, 'abs_contribution': 0.0467, 'importance': 'LOW', 'direction': 'normal'}, {'feature': 'pressure_zscore', 'display_name': 'Pressure Zscore', 'contribution': 0.0387, 'abs_contribution': 0.0387, 'importance': 'LOW', 'direction': 'normal'}, {'feature': 'pressure_rate_of_change', 'display_name': 'Pressure Rate Of Change', 'contribution': -0.0285, 'abs_contribution': 0.0285, 'importance': 'LOW', 'direction': 'anomalous'}], 'summary': 'Temperature had the strongest contribution to the Isolation Forest decision.'}"
