station_id,health_score,run_date
ST04,64.9,2026-09-04 09:36:19
ST09,80.8,2026-09-04 09:36:19
ST08,81.4,2026-09-04 09:36:19
ST05,83.3,2026-09-04 09:36:19
ST10,85.9,2026-09-04 09:36:19
ST03,85.9,2026-09-04 09:36:19
ST02,86.5,2026-09-04 09:36:19
ST07,87.0,2026-09-04 09:36:19
ST06,87.2,2026-09-04 09:36:19
ST01,88.4,2026-09-04 09:36:19
ST04,64.9,2026-09-04 15:21:35
ST09,80.8,2026-09-04 15:21:35
ST08,81.4,2026-09-04 15:21:35
ST05,83.3,2026-09-04 15:21:35
ST10,85.9,2026-09-04 15:21:35
ST03,85.9,2026-09-04 15:21:35
ST02,86.5,2026-09-04 15:21:35
ST07,87.0,2026-09-04 15:21:35
ST06,87.2,2026-09-04 15:21:35
ST01,88.4,2026-09-04 15:21:35
ST04,64.9,2026-09-04 16:27:12
ST09,80.8,2026-09-04 16:27:12
ST08,81.4,2026-09-04 16:27:12
ST05,83.3,2026-09-04 16:27:12
ST10,85.9,2026-09-04 16:27:12
ST03,85.9,2026-09-04 16:27:12
ST02,86.5,2026-09-04 16:27:12
ST07,87.0,2026-09-04 16:27:12
ST06,87.2,2026-09-04 16:27:12
ST01,88.4,2026-09-04 16:27:12
ST04,64.9,2026-09-04 17:14:12
ST09,80.8,2026-09-04 17:14:12
ST08,81.4,2026-09-04 17:14:12
ST05,83.3,2026-09-04 17:14:12
ST10,85.9,2026-09-04 17:14:12
ST03,85.9,2026-09-04 17:14:12
ST02,86.5,2026-09-04 17:14:12
ST07,87.0,2026-09-04 17:14:12
ST06,87.2,2026-09-04 17:14:12
ST01,88.4,2026-09-04 17:14:12
ST04,64.9,2026-09-04 17:27:36
ST09,80.8,2026-09-04 17:27:36
ST08,81.4,2026-09-04 17:27:36
ST05,83.3,2026-09-04 17:27:36
ST10,85.9,2026-09-04 17:27:36
ST03,85.9,2026-09-04 17:27:36
ST02,86.5,2026-09-04 17:27:36
ST07,87.0,2026-09-04 17:27:36
ST06,87.2,2026-09-04 17:27:36
ST01,88.4,2026-09-04 17:27:36
ST04,64.9,2026-09-04 23:29:25
ST09,80.8,2026-09-04 23:29:25
ST08,81.4,2026-09-04 23:29:25
ST05,83.3,2026-09-04 23:29:25
ST10,85.9,2026-09-04 23:29:25
ST03,85.9,2026-09-04 23:29:25
ST02,86.5,2026-09-04 23:29:25
ST07,87.0,2026-09-04 23:29:25
ST06,87.2,2026-09-04 23:29:25
ST01,88.4,2026-09-04 23:29:25
ST04,55.4,2026-09-05 18:11:45
ST07,61.1,2026-09-05 18:11:45
ST02,62.8,2026-09-05 18:11:45
ST10,66.3,2026-09-05 18:11:45
ST03,67.9,2026-09-05 18:11:45
ST09,69.1,2026-09-05 18:11:45
ST06,71.2,2026-09-05 18:11:45
ST08,72.2,2026-09-05 18:11:45
ST05,73.8,2026-09-05 18:11:45
ST01,76.6,2026-09-05 18:11:45
ST02,53.5,2026-09-07 15:31:22
ST07,54.5,2026-09-07 15:31:22
ST03,55.9,2026-09-07 15:31:22
ST09,59.3,2026-09-07 15:31:22
ST06,61.0,2026-09-07 15:31:22
ST04,61.3,2026-09-07 15:31:22
ST10,63.5,2026-09-07 15:31:22
ST01,65.2,2026-09-07 15:31:22
ST08,71.4,2026-09-07 15:31:22
ST05,75.8,2026-09-07 15:31:22
ST02,53.5,2026-09-07 16:26:34
ST07,54.5,2026-09-07 16:26:34
ST03,55.9,2026-09-07 16:26:34
ST09,59.3,2026-09-07 16:26:34
ST06,61.0,2026-09-07 16:26:34
ST04,61.3,2026-09-07 16:26:34
ST10,63.5,2026-09-07 16:26:34
ST01,65.2,2026-09-07 16:26:34
ST08,71.4,2026-09-07 16:26:34
ST05,75.8,2026-09-07 16:26:34
ST02,53.5,2026-09-07 18:58:57
ST07,54.5,2026-09-07 18:58:57
ST03,55.9,2026-09-07 18:58:57
ST09,59.3,2026-09-07 18:58:57
ST06,61.0,2026-09-07 18:58:57
ST04,61.3,2026-09-07 18:58:57
ST10,63.5,2026-09-07 18:58:57
ST01,65.2,2026-09-07 18:58:57
ST08,71.4,2026-09-07 18:58:57
ST05,75.8,2026-09-07 18:58:57
ST02,53.5,2026-09-08 10:11:01
ST07,54.5,2026-09-08 10:11:01
ST03,55.9,2026-09-08 10:11:01
ST09,59.3,2026-09-08 10:11:01
ST06,61.0,2026-09-08 10:11:01
ST04,61.3,2026-09-08 10:11:01
ST10,63.5,2026-09-08 10:11:01
ST01,65.2,2026-09-08 10:11:01
ST08,71.4,2026-09-08 10:11:01
ST05,75.8,2026-09-08 10:11:01
