station_id,health_score,run_date,remaining_life_prediction
ST04,64.9,2026-09-04 09:36:19,~15 day(s) (trend-based estimate)
ST09,80.8,2026-09-04 09:36:19,~3 day(s) (trend-based estimate)
ST08,81.4,2026-09-04 09:36:19,~14 day(s) (trend-based estimate)
ST05,83.3,2026-09-04 09:36:19,~21 day(s) (trend-based estimate)
ST10,85.9,2026-09-04 09:36:19,~4 day(s) (trend-based estimate)
ST03,85.9,2026-09-04 09:36:19,~1 day(s) (trend-based estimate)
ST02,86.5,2026-09-04 09:36:19,< 1 day (trend-based estimate)
ST07,87.0,2026-09-04 09:36:19,~1 day(s) (trend-based estimate)
ST06,87.2,2026-09-04 09:36:19,~3 day(s) (trend-based estimate)
ST01,88.4,2026-09-04 09:36:19,~4 day(s) (trend-based estimate)
ST04,64.9,2026-09-04 15:21:35,~15 day(s) (trend-based estimate)
ST09,80.8,2026-09-04 15:21:35,~3 day(s) (trend-based estimate)
ST08,81.4,2026-09-04 15:21:35,~14 day(s) (trend-based estimate)
ST05,83.3,2026-09-04 15:21:35,~21 day(s) (trend-based estimate)
ST10,85.9,2026-09-04 15:21:35,~4 day(s) (trend-based estimate)
ST03,85.9,2026-09-04 15:21:35,~1 day(s) (trend-based estimate)
ST02,86.5,2026-09-04 15:21:35,< 1 day (trend-based estimate)
ST07,87.0,2026-09-04 15:21:35,~1 day(s) (trend-based estimate)
ST06,87.2,2026-09-04 15:21:35,~3 day(s) (trend-based estimate)
ST01,88.4,2026-09-04 15:21:35,~4 day(s) (trend-based estimate)
ST04,64.9,2026-09-04 16:27:12,~15 day(s) (trend-based estimate)
ST09,80.8,2026-09-04 16:27:12,~3 day(s) (trend-based estimate)
ST08,81.4,2026-09-04 16:27:12,~14 day(s) (trend-based estimate)
ST05,83.3,2026-09-04 16:27:12,~21 day(s) (trend-based estimate)
ST10,85.9,2026-09-04 16:27:12,~4 day(s) (trend-based estimate)
ST03,85.9,2026-09-04 16:27:12,~1 day(s) (trend-based estimate)
ST02,86.5,2026-09-04 16:27:12,< 1 day (trend-based estimate)
ST07,87.0,2026-09-04 16:27:12,~1 day(s) (trend-based estimate)
